Minisector,HAM,OCO,Fastest
0,278.3003276530027,282.7934839254701,OCO
1,153.40514383382182,153.5106332066609,OCO
2,143.9576728886516,143.23273450842743,HAM
3,224.47766894100582,224.1787604212011,HAM
4,278.3307280295731,283.21963955336787,OCO
5,277.652794531174,287.91436084293275,OCO
6,140.18624247954818,134.170103007676,HAM
7,142.48602093958146,133.5584063470426,HAM
8,136.993057932143,138.84031262350481,OCO
9,188.82636964486773,185.08783120381892,HAM
10,127.70948490845609,128.35285618839316,OCO
11,119.31969041196854,120.97152943612039,OCO
12,170.33062227277438,155.2784029994605,HAM
13,264.4480412312534,263.0371795145299,HAM
14,282.9460886817738,285.9792974421204,OCO
15,147.62198755477812,143.196870038974,HAM
16,202.60134898031748,203.6263934025974,OCO
17,174.99202713491968,162.82539491383744,HAM
18,267.84736152540785,269.4425765558793,OCO
19,288.9819136514533,294.9542965367965,OCO
20,300.8903206836017,310.9412198249697,OCO
21,308.94150971273984,319.30052153113746,OCO
22,312.02751324444444,322.9308560806723,OCO
23,314.0391086277879,324.37798226438713,OCO
24,309.95197451130434,317.04884684041645,OCO
25,,313.3166670222222,OCO
