Minisector,ALB,PER,Fastest
0,257.5192416609524,262.5988567749413,PER
1,132.3295146881038,129.76728897163713,ALB
2,267.0114555365651,261.97198315402295,ALB
3,311.958000128,309.9200638512967,ALB
4,306.48901512727275,311.78611906438096,PER
5,314.68516676266665,321.63308721914,PER
6,319.82136423108017,336.0154762467909,PER
7,317.6003696715729,342.2540953757006,PER
8,211.9084724667006,203.50408121081082,ALB
9,192.86635232470798,187.77072718124063,ALB
10,189.94415635405016,185.93418451872245,ALB
11,165.63638698314483,157.3539873230946,ALB
12,252.43167368878713,241.93757849772365,ALB
13,275.36146882048536,275.6376413442523,PER
14,279.83960572014655,273.07920185176107,ALB
15,279.67177942941873,275.10372511604936,ALB
16,185.22957259816232,181.57972363369385,ALB
17,194.55941821273183,189.59017193417577,ALB
18,239.46856231250044,232.19972448684138,ALB
19,290.2334993449362,283.11423787748294,ALB
20,312.08710283809523,306.89031181392915,ALB
21,317.79021746086954,315.44927540869566,ALB
22,314.1987849777778,310.92078366349205,ALB
23,259.15994351854755,260.86959718283316,PER
24,114.05386046380748,114.51182420965023,PER
25,226.89582933333332,224.30000213333335,ALB
