Minisector,LEC,RIC,Fastest
0,257.9211701399586,250.4371454697299,LEC
1,283.31500762358337,279.1401246961039,LEC
2,174.79948346204156,157.04432697789775,LEC
3,172.1850574034218,162.5754941470231,LEC
4,264.00414606062236,257.4213544888889,LEC
5,282.7841377888193,263.05132495930735,LEC
6,244.45890784217863,214.42109733474427,LEC
7,215.62475523407898,196.22455992510203,LEC
8,159.02418387467918,155.13474091862653,LEC
9,216.73712921192006,222.61571444056037,RIC
10,276.764663812987,274.7782087345201,LEC
11,128.45385461094978,122.96971394705422,LEC
12,221.83917865533297,214.72645099024612,LEC
13,274.4092263293141,269.9748382337662,LEC
14,290.9589877180953,290.31187170567455,LEC
15,297.54229168,297.9092040471151,RIC
16,236.00117175466667,215.66108676163878,LEC
17,140.27999504517044,133.94284440502358,LEC
18,142.16842792583375,136.48730591630678,LEC
19,123.76357256135287,121.38480430087463,LEC
20,235.0133321447619,221.690844947624,LEC
21,261.58653449758424,245.3615350438935,LEC
22,238.67083541333332,220.93296237411806,LEC
23,221.1018799821821,204.86490229648004,LEC
24,146.6115016685714,147.36544685333334,RIC
25,224.20000000000002,,LEC
