Minisector,LEC,STR,Fastest
0,281.16509490784756,281.86556722096327,STR
1,140.9995821873924,139.0042937082666,LEC
2,218.09368299109232,212.1649866601271,LEC
3,284.83063833925235,277.73222816646285,LEC
4,320.9527356735352,308.9545157757098,LEC
5,307.28530653998047,290.93779321358943,LEC
6,149.15110610492636,148.3273854900381,LEC
7,237.45472132155626,234.5705797771942,LEC
8,108.35926835580719,107.84752564923308,LEC
9,172.0599299017348,171.68527545398703,LEC
10,280.8129018685278,276.23356932537524,LEC
11,302.03925061776664,296.7436160961376,LEC
12,210.96826513572393,204.7733457901468,LEC
13,175.074268743971,178.77590755040202,STR
14,281.7168758717616,274.84661232014946,LEC
15,313.77793449858586,309.4782890592077,LEC
16,326.2399648386755,322.1926864129713,LEC
17,335.29543187704695,329.1971011329826,LEC
18,345.79902214659035,330.7446338181818,LEC
19,351.80381268600956,325.3085881914388,LEC
20,197.1143704343999,182.89494051217142,LEC
21,158.185010225235,174.86454062267927,STR
22,276.7993358743928,281.06426849326704,STR
23,310.46114530211514,311.51178232611426,STR
24,319.3692495455704,318.1772230484155,LEC
