Minisector,HAD,GAS,Fastest
0,315.8428526520357,313.9495154410339,HAD
1,328.39439176388913,326.9908527769133,HAD
2,333.110837301286,332.1793092524494,HAD
3,309.4855260927721,302.0510249341793,HAD
4,156.84439687314566,150.30644802365933,HAD
5,191.91167674949065,183.59334672020626,HAD
6,220.44475462119908,210.78085725372685,HAD
7,261.9279763266943,255.2149211169294,HAD
8,247.73586690583505,237.34454756616188,HAD
9,153.27403672934832,147.22542158855185,HAD
10,215.6158019823045,204.66221721552336,HAD
11,126.49457470929651,120.94770452550485,HAD
12,226.6456357282493,227.48493174195798,GAS
13,168.4781016125882,158.6393587484261,HAD
14,210.9337597503898,205.10739468692714,HAD
15,222.528046738407,214.45893664968426,HAD
16,261.64747292414785,253.12275272531153,HAD
17,296.66386922139077,289.93483079468604,HAD
18,138.57706492276856,140.8832181257142,GAS
19,153.84396455756078,151.2628888900724,HAD
20,128.82910567314093,128.178864580178,HAD
21,222.15130957659252,221.117035829813,HAD
22,250.0641308901885,250.6703373995507,GAS
23,232.42810510647539,226.1291284860453,HAD
24,281.74083360255776,276.0112055929265,HAD
25,307.3112043993724,,HAD
