Minisector,ALB,BOT,Fastest
0,295.70902746666667,291.12604137777777,ALB
1,304.51969692121213,300.57865592961303,ALB
2,273.8158121033571,274.011501824,BOT
3,113.73756797111456,116.18484435745947,BOT
4,227.7359180505747,231.94211540583112,BOT
5,274.1211378151619,272.48439944126983,ALB
6,205.32512905050504,211.94413257979937,BOT
7,172.06509289194074,176.0930907508772,BOT
8,205.08583683034857,213.31260206314818,BOT
9,216.1380962064516,228.3489370556322,BOT
10,117.9300316723128,119.81026040976958,BOT
11,231.51150637979092,229.634866894331,ALB
12,121.04875281719801,121.4621547615679,BOT
13,228.96034368735633,228.38491255172414,ALB
14,275.8906282412576,271.48764719857553,ALB
15,221.34516276989245,218.92122390755554,ALB
16,198.3362348476105,201.79217946646114,BOT
17,255.80518054603175,251.7374998123457,ALB
18,202.63717162700237,201.70710876862745,ALB
19,191.33846118991596,188.52389672156863,ALB
20,267.7140375527893,262.9078293333333,ALB
21,292.0159720888889,283.9967012888889,ALB
22,168.26485601256826,164.00010016924838,ALB
23,219.0605588645161,222.19611310241433,BOT
24,275.6034739429998,273.86587285714285,ALB
25,286.7,284.3812496,ALB
