Minisector,ALO,OCO,Fastest
0,249.58567172402118,248.59362970369318,ALO
1,126.04566036892935,126.35578104835932,OCO
2,258.15992659513756,260.135996084255,OCO
3,300.2549385052352,302.88323210244454,OCO
4,303.901749607218,303.95845904174547,OCO
5,311.1094878851282,312.555811797551,OCO
6,314.1936821387198,315.9376663812987,OCO
7,308.1635119949206,310.74835656634923,OCO
8,192.28034333045593,189.60847302596827,ALO
9,177.93535192049276,185.2955403637037,OCO
10,180.58493405307257,179.80831707666613,ALO
11,161.9351731216174,169.86988820335316,OCO
12,243.6580187031746,247.52603506400735,OCO
13,267.510112513536,269.19805102881884,OCO
14,274.10244704169315,273.1466491661662,ALO
15,262.4139447964078,261.1626925391501,ALO
16,166.8237995490982,168.9844411269286,OCO
17,170.1647285039276,175.3170306783527,OCO
18,225.8223884769128,232.38209845951093,OCO
19,278.38786928599365,278.8628361931213,OCO
20,299.5171700923077,300.9384385382953,OCO
21,305.30597076828406,309.17158512039424,OCO
22,301.11452663566575,304.96091841995235,OCO
23,249.8954747498059,233.92484099956556,ALO
24,106.77891327770027,114.93990434926971,OCO
25,220.55279485328492,,ALO
