Minisector,SAI,ANT,Fastest
0,292.4956301047811,297.18727655606455,ANT
1,303.7802046735749,310.01188326015034,ANT
2,307.923499968,314.6631424363991,ANT
3,187.15118556577735,181.73795362380045,SAI
4,208.7900637840191,203.53305738340137,SAI
5,202.267608465691,205.74484720027283,ANT
6,263.5887026078223,268.95614331223675,ANT
7,253.08597974221516,252.06927609600604,SAI
8,211.99679130373627,218.57325898922886,ANT
9,210.10486179946187,208.99917051095784,SAI
10,141.49498981626317,134.44228922791763,SAI
11,199.20084669310353,195.13266534256059,SAI
12,184.33113802391168,187.89350224380954,ANT
13,249.28888381809523,254.9234061747152,ANT
14,181.12665398510705,169.8769757708319,SAI
15,233.01578426598292,233.75526128599367,ANT
16,280.57425756688053,281.9474981869944,ANT
17,290.6984016578483,292.1904933221053,ANT
18,281.8102639746494,281.74069075504764,SAI
19,267.2176533350424,265.20253545385356,SAI
20,269.9453261711977,262.17883794342384,SAI
21,261.91658363195745,264.25070818319074,ANT
22,226.53414009550528,223.05855510501587,SAI
23,214.51310706167743,210.41425935142036,SAI
24,267.9681001088765,275.0881902909732,ANT
25,284.2,,SAI
