Minisector,HAM,RUS,Fastest
0,258.2280481616162,261.70832856960993,RUS
1,127.82346579506991,131.08367941047618,RUS
2,201.55075640098764,200.39882227984037,HAM
3,246.94964719267978,244.17708377142858,HAM
4,253.78950440804232,253.93414053688886,RUS
5,173.4297358935873,171.60162571033752,HAM
6,146.56749790861662,141.76872440575892,HAM
7,187.15405291843553,178.5628149461472,HAM
8,99.33344590828584,96.00068115725871,HAM
9,71.79420967373231,71.40730672388803,HAM
10,97.20979987504762,94.896879849764,HAM
11,181.7380265893273,183.04990998949495,RUS
12,243.4651784137143,245.87888432006338,RUS
13,267.83694465094015,271.0242554130379,RUS
14,279.42776484500763,272.3638201422222,HAM
15,117.86460042544061,106.33688521906787,HAM
16,145.51510778405586,146.3212874011993,RUS
17,187.0396795043771,180.73385274850543,HAM
18,195.35630984126982,198.53380561624877,RUS
19,210.19714924632575,207.67290849044295,HAM
20,132.65069271344763,135.82455320170084,RUS
21,115.95774375575681,98.08497237189096,HAM
22,95.4767117132141,99.22131776046324,RUS
23,194.53888300771956,196.81963361918156,RUS
24,249.302240040777,248.21437960333333,HAM
25,263.26785645714284,263.38999808,RUS
