Minisector,PER,ALB,Fastest
0,277.747979064818,272.40276046531585,PER
1,294.9622950384486,292.8264900440398,PER
2,223.03268817737612,245.2064444289294,ALB
3,112.08287315251947,127.29711362014342,ALB
4,134.88953854588868,124.44914462853995,PER
5,250.67506280684046,238.30861899799606,PER
6,246.91187843809521,270.50585695184554,ALB
7,122.94829487369336,123.80498371698302,ALB
8,247.07013827010454,230.80387874224982,PER
9,254.48611181202742,244.19274075916937,PER
10,202.13193132051944,211.8134908463963,ALB
11,139.480637670986,145.49914326234082,ALB
12,204.56116616078123,179.65544648289767,PER
13,257.3860387172788,256.0867220548564,PER
14,113.47431219796994,122.955139978373,ALB
15,187.80002405213116,168.36337622090954,PER
16,254.97265890912934,245.77162303090296,PER
17,286.03916669785076,279.8083982789498,PER
18,300.3619896734044,294.45079730410214,PER
19,306.2587719859649,299.94270837333335,PER
20,308.59316214113056,301.90043156801784,PER
21,153.26693300844903,229.3671213596772,ALB
22,150.89552005163895,118.4960641473923,PER
23,190.9355808381535,204.84562237183573,ALB
24,235.30577063069202,211.6663080077271,PER
25,,255.51666702222224,ALB
