Minisector,VER,SAI,Fastest
0,293.1554306769748,297.76874908748664,SAI
1,300.2954629807407,307.54828285537866,SAI
2,217.80279537888197,221.8678906793651,SAI
3,140.58670430603175,136.11928269751587,VER
4,214.8626287777778,220.35105420650038,SAI
5,164.15609796195153,164.29254503371453,SAI
6,168.50884807874704,166.53374081544126,VER
7,253.25606014075186,251.07461343893164,VER
8,278.32180117542464,280.67754897568625,SAI
9,287.3996862005195,291.1262254745098,SAI
10,270.87328096,256.30400045122246,VER
11,251.7782818159615,237.1226560977778,VER
12,243.78164631111113,240.81712137729335,VER
13,218.3725450506718,207.52112287072464,VER
14,134.54785913898638,128.94393759134942,VER
15,143.10414373919414,140.60400132733045,VER
16,176.03985003914275,165.63380777265795,VER
17,244.86257587831153,246.71228666835975,SAI
18,246.41849301866668,253.65148412533335,SAI
19,117.16545219578514,116.30860600431633,VER
20,190.73598459733333,187.200776245549,VER
21,200.36983638742018,200.80067591298837,SAI
22,235.8077233062857,231.90129528996334,VER
23,262.3475900757086,263.74207154962966,SAI
24,281.17166454290594,284.1781195527171,SAI
25,289.8,293.78000128,SAI
