Minisector,GAS,ALB,Fastest
0,243.66932704335238,245.06040196958924,ALB
1,276.4532774826667,281.22878684807256,ALB
2,170.08741963852145,180.0278505219086,ALB
3,152.79442544127136,145.07489474570548,GAS
4,255.30569457005714,253.76784580011292,GAS
5,264.8351278416649,265.38214569123085,ALB
6,226.42067257641025,212.81856006267282,GAS
7,203.98716225570007,193.84522532437876,GAS
8,158.1339707992381,152.53492878312247,GAS
9,209.93026589170069,215.2653349124515,ALB
10,269.89092423023766,271.34508623282085,ALB
11,130.9124140222962,115.63319570961946,GAS
12,197.74532714161103,209.1301109996928,ALB
13,268.7996373501968,271.5926754276429,ALB
14,290.63327203029905,294.1232499229091,ALB
15,297.6066523049928,301.8042222222222,ALB
16,231.71487990109546,214.80370248758658,GAS
17,132.5442472026282,131.39583899997848,GAS
18,128.11370577015998,129.9650794835979,ALB
19,121.51436160087451,121.06967689430783,GAS
20,225.56509673532,223.2614181818182,GAS
21,257.88579731803344,250.18987787412354,GAS
22,240.86937567706036,221.4661411348508,GAS
23,211.45333423354793,201.63827250035567,GAS
24,136.25334754532142,135.4818618729631,GAS
