Minisector,HAM,RUS,Fastest
0,296.65366444862497,296.17906279028693,HAM
1,254.81800437040204,252.58047518247156,HAM
2,199.2708998816214,195.02475019163364,HAM
3,262.12266522714276,263.83026713513226,RUS
4,215.85846254283925,228.2527479554281,RUS
5,113.19934449862227,108.94196644442847,HAM
6,171.4009458236428,159.72105829182055,HAM
7,252.35437535089685,254.82545799102715,RUS
8,288.08952374548295,287.57470341554136,HAM
9,303.7181576400287,302.846902721231,HAM
10,306.273170137971,309.47259928794443,RUS
11,229.14771911999998,220.81529338023185,HAM
12,139.7784564082891,138.80574683092098,HAM
13,250.76737855981628,250.48490587657963,HAM
14,287.50203608029557,287.54113864374654,RUS
15,299.4368952332468,300.6711268537566,RUS
16,297.604844354632,299.5430688815264,RUS
17,256.3080137948718,259.4610977031332,RUS
18,178.59526814326264,179.17277900728928,RUS
19,175.65265822710677,181.39838389203553,RUS
20,175.04623673568628,174.67433522145294,HAM
21,241.6868390284815,247.10812192784422,RUS
22,121.75700086197678,119.74327916313996,HAM
23,190.5973748514671,192.3056288722442,RUS
24,275.336279454359,273.4233972588959,HAM
25,,287.72500096,RUS
