Minisector,SAI,PER,Fastest
0,298.4514446443427,307.9995019788101,PER
1,137.3396480878192,145.44106446509926,PER
2,213.41987154449973,212.32884492913038,SAI
3,274.70484036548845,271.8636362938932,SAI
4,313.7349612612136,310.96120046553483,SAI
5,316.4818749061623,318.3794371733333,PER
6,154.33493009958127,151.76315168793604,SAI
7,241.8461596442392,241.1025171220604,SAI
8,113.46732239274317,117.20044767418412,PER
9,146.3768002855241,145.63849105837772,SAI
10,272.3902227068787,268.21199380005913,SAI
11,292.8347851954424,298.393198949234,PER
12,263.3036500617143,250.09621339071134,SAI
13,154.10487680447469,152.31855634835276,SAI
14,270.2149197963529,270.51423924679676,PER
15,306.58846096739035,305.4388641200577,SAI
16,323.52203950504276,322.3434901550617,SAI
17,330.3878473777778,330.5597188146609,PER
18,336.0678620087359,332.3220049394917,SAI
19,334.7880950857143,328.7750825015873,SAI
20,241.0841572164957,212.46251645923792,SAI
21,146.97915847610676,158.10767383978836,PER
22,276.2911855930253,273.1551309891294,SAI
23,311.07266704,308.77526290438095,SAI
24,326.1527415664645,323.8186756178537,SAI
