Minisector,SAI,VER,Fastest
0,247.15453861241258,248.34023013986393,VER
1,286.8930103038233,282.8752321146005,SAI
2,166.4676790421469,185.6546037963449,VER
3,159.45425995878787,151.93575771548262,SAI
4,255.46152237184265,255.24387239761268,SAI
5,275.1168933555748,274.81593391410325,SAI
6,234.17870463746033,242.22440240341703,VER
7,208.69356090279544,207.2345313606391,SAI
8,162.79408145855288,159.59836089390177,SAI
9,215.34024954223997,215.7866076510985,VER
10,271.9968517098901,269.98258414518517,SAI
11,128.85948813232952,126.60351764879634,SAI
12,216.36971739539146,206.77620047600774,SAI
13,275.9495076774603,272.48886862545453,SAI
14,299.8897729015208,296.7784818797028,SAI
15,312.99380770652556,308.2422574523356,SAI
16,244.99799601730106,244.93554734641327,SAI
17,129.37501696720247,129.6181247785169,VER
18,132.11086870278956,127.37900148253495,SAI
19,120.82304190717315,122.67469066729927,VER
20,228.35134019425982,220.4999440810873,SAI
21,255.60452180395603,258.54316363528716,VER
22,244.71109424513332,244.71275663188928,VER
23,219.1209002454422,226.52728999710416,VER
24,139.43052260592336,133.72859019695,SAI
25,219.8,214.25999872,SAI
