Minisector,NOR,TSU,Fastest
0,314.3867853420606,295.7463637754459,NOR
1,210.58576669968255,200.87415475396807,NOR
2,224.99840095980466,229.06860719009222,TSU
3,281.4485073308119,274.37707850897084,NOR
4,233.00168905295237,235.20517924858524,TSU
5,125.15662691696895,125.42264925017943,TSU
6,212.7635672916787,211.19814924895243,NOR
7,262.86725662211177,255.5770247626182,NOR
8,241.60489376822997,242.01550053052526,TSU
9,233.1451763774359,237.20437129258445,TSU
10,275.1272847004444,273.37110863178856,NOR
11,289.30492269435064,290.53302514264385,TSU
12,305.68527874493503,298.33376083204837,NOR
13,320.4990459463678,301.52492957196444,NOR
14,325.35845962828284,299.8013944239674,NOR
15,263.2474169587302,254.88686328540393,NOR
16,245.99069930707165,244.05687678572144,NOR
17,285.6178272581818,277.1525178359486,NOR
18,303.2691053258346,286.7384757192026,NOR
19,158.44357745088433,159.5240975875583,TSU
20,206.96376901681023,211.84651279618282,TSU
21,179.62250190640324,184.83606709428116,TSU
22,145.045471456994,141.99962078180027,NOR
23,243.85026004962614,239.21744503180375,NOR
24,296.2587392697744,282.0182992593743,NOR
25,309.3048083692308,,NOR
