Minisector,SAI,RUS,Fastest
0,292.58690556341446,293.3330584977778,RUS
1,304.38941662400003,303.4091573050815,SAI
2,309.2961768451019,307.1250001185185,SAI
3,313.5431830892386,308.7660489885714,SAI
4,200.61832324246546,193.82953125520763,SAI
5,211.53151296653593,222.19807203995117,RUS
6,268.18401764,271.7780618206413,RUS
7,274.0803927754377,275.08010321608464,RUS
8,181.90301948064626,187.46950191480974,RUS
9,143.01535535350862,146.54922348557318,RUS
10,172.48664880326575,188.20582655000462,RUS
11,258.04304631516527,260.9959821355102,RUS
12,250.92784053333332,257.0767263153026,RUS
13,225.3344255770561,233.81457170186334,RUS
14,274.2382302780952,274.0319666230524,SAI
15,160.99471224532823,171.03627761625566,RUS
16,220.1038624993789,222.78163906748108,RUS
17,242.00979592420703,243.12930313333334,RUS
18,133.59472959996643,137.3592519567576,RUS
19,241.52479850733212,241.5405698819951,RUS
20,282.20850185148305,280.2872073128594,SAI
21,256.8791692610096,252.2591349142857,SAI
22,135.8993157897807,142.2332948404144,RUS
23,206.43243380173382,213.2609192736508,RUS
24,272.5644872960111,271.6482600646945,SAI
25,,285.9750016,RUS
