Minisector,HAM,PER,Fastest
0,296.65366444862497,298.8965482242157,PER
1,254.81800437040204,237.62630010677952,HAM
2,199.2708998816214,192.924106987726,HAM
3,262.12266522714276,263.1673889794255,PER
4,215.85846254283925,219.2848662512619,PER
5,113.19934449862227,109.39415515431543,HAM
6,171.4009458236428,174.62902343645996,PER
7,252.35437535089685,258.7211670042452,PER
8,288.08952374548295,293.17002371577513,PER
9,303.7181576400287,308.8855529650794,PER
10,306.273170137971,315.98444044419045,PER
11,229.14771911999998,219.3322508249881,HAM
12,139.7784564082891,141.49580578438645,PER
13,250.76737855981628,256.59000126524376,PER
14,287.50203608029557,294.5095216879657,PER
15,299.4368952332468,306.9170756813675,PER
16,297.604844354632,301.9014583333334,PER
17,256.3080137948718,251.1546749618,HAM
18,178.59526814326264,178.8600014459966,PER
19,175.65265822710677,168.37626852445746,HAM
20,175.04623673568628,176.4056903662222,PER
21,241.6868390284815,229.75136855336876,HAM
22,121.75700086197678,116.55818257703935,HAM
23,190.5973748514671,204.9155375165329,PER
24,275.336279454359,278.4052833164726,PER
