Minisector,HAD,ALB,Fastest
0,244.73312409481483,260.76704837602466,ALB
1,132.755980835745,135.56710515289137,ALB
2,202.33532847238095,198.46514295636365,HAD
3,240.67619221865817,247.2528774181627,ALB
4,256.5345120386552,256.6985515773968,ALB
5,184.11394737381983,176.24654238014432,HAD
6,145.6687114766432,149.9783633160746,ALB
7,183.6064629309146,183.00099051827664,HAD
8,104.33487081033712,102.04348039306947,HAD
9,73.86261470713883,71.01098990767132,HAD
10,94.35550708014854,96.37246223533575,ALB
11,172.5912503632253,186.91171927945578,ALB
12,237.21128210971253,247.8823892622222,ALB
13,261.45613553244044,270.64076342160905,ALB
14,270.35150449959184,282.50875022908684,ALB
15,113.28587021854105,120.31172260720217,ALB
16,140.1437220119228,162.01448359186517,ALB
17,181.28840174222222,186.32896437028572,ALB
18,191.163846058271,201.42169011960132,ALB
19,214.86405081723686,213.6260114629264,HAD
20,132.44989877469922,141.7424919,ALB
21,113.90060834309956,110.99242158879552,HAD
22,100.8360520339473,98.83856994566845,HAD
23,199.19132884825396,200.2457303245791,ALB
24,245.54290442983998,248.16382883333333,ALB
25,259.92000512,264.9916672,ALB
