Minisector,PIA,ALB,Fastest
0,272.47528071217397,273.95173923942593,ALB
1,296.3522386825397,300.2049406552381,ALB
2,309.4643837962161,311.7335523646825,ALB
3,318.9001666346667,319.3948426505322,ALB
4,323.6995715311746,324.8205807397888,ALB
5,327.1017658514285,327.98650793650796,ALB
6,214.09882807404915,204.847274939327,PIA
7,104.10304246346958,104.38854427878735,ALB
8,183.22607886628572,182.57558587180398,PIA
9,257.34902167987286,262.1291082459474,ALB
10,288.44955030944993,290.3679394899911,ALB
11,155.91794821418236,148.43454405618488,PIA
12,95.85918466106848,96.01940575672006,ALB
13,112.03069423696478,110.05452225179818,PIA
14,213.9511634266991,209.28815179642666,PIA
15,182.89110347371772,181.93137245366884,PIA
16,220.0827479005789,216.398560088658,PIA
17,169.60053806888183,165.24755429770894,PIA
18,239.17557481781864,243.37087077244277,ALB
19,278.14443797557425,277.37501680915824,PIA
20,241.14718565015875,243.05607450877773,ALB
21,137.67686063950984,142.66146020575388,ALB
22,93.44639270032302,92.76623341373376,PIA
23,116.43993681339339,122.9540149087619,ALB
24,220.36432276300212,224.4644781211322,ALB
25,254.27857005714284,,PIA
