Minisector,GAS,LIN,Fastest
0,313.9495154410339,320.5355003984282,LIN
1,326.9908527769133,346.64175545655104,LIN
2,332.1793092524494,351.8343809097143,LIN
3,302.0510249341793,320.4592025163655,LIN
4,150.30644802365933,144.4424787184724,GAS
5,183.59334672020626,178.45041142866685,GAS
6,210.78085725372685,208.92376173006704,GAS
7,253.03334955903608,257.9051563429928,LIN
8,240.56082284539139,241.8935432115211,LIN
9,146.26146339997985,143.69863082731825,GAS
10,205.66221721552336,205.4096808308463,GAS
11,121.6988930590161,122.25686649521307,LIN
12,226.05242863931971,228.39883223664344,LIN
13,162.41602131982458,163.92450713595017,LIN
14,200.7213158733759,204.00300880398584,LIN
15,214.45893664968426,211.84613126231645,GAS
16,251.68512787671773,256.65555102725745,LIN
17,289.3593133844394,290.5024476916237,LIN
18,142.6540118946031,137.71251989862012,GAS
19,148.70204291405068,149.9974840859163,LIN
20,128.178864580178,126.3619879917922,GAS
21,221.117035829813,216.7907879351836,GAS
22,250.6703373995507,250.84327292321947,LIN
23,224.5045038029585,227.80582017345822,LIN
24,273.19839218908265,282.42895948952383,LIN
25,300.256268076877,,GAS
