Minisector,VET,VER,Fastest
0,268.2828426666667,265.36271983157894,VET
1,300.60975389306446,295.7606880005601,VET
2,316.2333688373484,310.6141743523809,VET
3,325.4307935593651,318.0946428952381,VET
4,330.69006005905055,322.571131047619,VET
5,332.8705356952381,325.5,VET
6,287.81960784313725,285.9559108142675,VET
7,114.35888239901217,112.4295572713849,VET
8,150.72452366730158,146.20235568272716,VET
9,255.1195272871463,250.72522049122807,VET
10,292.6343748666667,289.27558521086456,VET
11,247.76506889624062,251.36090719130797,VER
12,92.96323903895318,93.5084852760096,VER
13,110.1733418112866,110.86284732115621,VER
14,217.07024707720524,214.2100386909091,VET
15,193.63249975466667,188.27336904347825,VET
16,227.19856372975832,222.5822708150392,VET
17,191.57023110699512,184.59660231111113,VET
18,226.15134814409512,225.65064881397265,VET
19,277.0169118745098,274.08563998095235,VET
20,293.4182637091262,290.97838486666666,VET
21,155.55032927947457,157.77909538300662,VER
22,104.075073738717,101.71385564965271,VET
23,120.5268991692916,120.79528499649122,VER
24,206.88623188405796,200.22651544242424,VET
25,,244.885416,VER
