Minisector,SAI,LEC,Fastest
0,301.79907734349206,289.9154519352539,SAI
1,162.28484046972787,165.11301835125747,LEC
2,163.47875073986648,149.27301837089604,SAI
3,231.88327082040541,231.37099523226465,SAI
4,288.6710569065598,293.0781585438939,LEC
5,294.3078562691345,287.83554195537874,SAI
6,146.9197541671718,145.29341721287992,SAI
7,146.5897118464578,141.00371295324933,SAI
8,143.39125019521,139.95475914073333,SAI
9,188.43902723346605,193.49743842440017,LEC
10,140.74364080447668,127.03310452767776,SAI
11,127.1748487115329,123.83796708920146,SAI
12,172.27591855869727,174.84124496388344,LEC
13,268.85041519904473,271.684616809651,LEC
14,294.1149781046057,295.40599748448966,LEC
15,156.49461659776412,154.26626814889784,SAI
16,191.791474018386,200.32180523207316,LEC
17,169.99394996871138,177.1635215030367,LEC
18,269.489092222473,274.0300480053648,LEC
19,293.7867396661192,299.0283924000074,LEC
20,308.1859679570755,314.78868733955557,LEC
21,316.4124817754788,322.52922965174963,LEC
22,320.4868139836007,327.7304085142122,LEC
23,323.86749341291005,332.67530831253976,LEC
24,322.51019239659524,330.61781908200135,LEC
25,322.0,,SAI
