Minisector,LEC,GAS,Fastest
0,302.9548028386923,294.08921079780663,LEC
1,225.03191835508184,234.41540364811286,GAS
2,127.66874046001972,132.15835970696827,GAS
3,238.93203297689374,237.62605079034628,LEC
4,193.23913778688384,182.67757015896973,LEC
5,249.80791711828223,235.1677275081204,LEC
6,235.37643156628477,221.72988086830944,LEC
7,257.8945414873016,244.6228171238095,LEC
8,282.0596105086558,281.39508684384,LEC
9,205.5961061277339,206.88509996396397,GAS
10,206.0017588520471,196.31486035151795,LEC
11,269.26446837585456,266.65530739149204,LEC
12,209.86736676758386,207.74923878308243,LEC
13,247.15024451702425,243.4005636569677,LEC
14,289.8006252076855,285.2099234830688,LEC
15,309.185678839074,300.7318551271512,LEC
16,313.0835357917922,302.56581736,LEC
17,235.21515472003625,232.9070953471243,LEC
18,265.7045684391159,263.8101679865201,LEC
19,298.9780202056199,291.1535363441795,LEC
20,315.1490258891577,304.4185231220897,LEC
21,316.4160353131313,305.1056953047895,LEC
22,152.97592412248676,151.69987411324828,LEC
23,234.10530451775034,227.4393354687472,LEC
24,284.49591042119323,278.03523718962964,LEC
25,,287.8937504,GAS
