Minisector,HAD,HUL,Fastest
0,207.05159670222224,135.5287772893827,HAD
1,205.0,176.18730845538462,HAD
2,243.7105316605215,227.33903194167763,HAD
3,272.87833294222224,258.67812591111107,HAD
4,280.4857145904762,281.8701755883041,HUL
5,167.8211200688172,301.4611767717647,HUL
6,112.867652236,312.3765217947826,HUL
7,149.22661063225806,316.99000021333336,HUL
8,197.5515757848396,325.77192310153845,HUL
9,161.66967741935485,329.3068184242424,HUL
10,103.9458646534321,311.96580597647056,HUL
11,128.24215695686274,199.20658343809524,HUL
12,178.83103127107992,105.55053129078014,HAD
13,172.43153846153848,109.66151254617604,HAD
14,126.84609267794741,187.86403974564104,HUL
15,140.38996279911862,242.29274805814538,HUL
16,190.6445711481905,260.3215004434286,HUL
17,235.911719815013,249.56776235789474,HUL
18,255.963623856,168.19127438333334,HAD
19,277.875,115.89896804007489,HAD
20,299.26875,138.5376992169312,HAD
21,308.40333312,185.99125088000002,HAD
22,312.2,229.82104216000002,HAD
23,322.6981816630303,258.31808503734896,HAD
24,323.84,279.66203733333333,HAD
25,323.0,290.3064712282353,HAD
26,,303.2681372862745,HUL
27,,298.56348952380955,HUL
