Minisector,VER,TSU,Fastest
0,304.8286494532416,304.0512750248539,VER
1,327.41584548741025,320.07628303265676,VER
2,282.18698577632654,306.0425272180451,TSU
3,103.16344048345432,103.49258622274071,TSU
4,222.52259457323504,217.40053279963553,VER
5,287.56810545454545,278.81261615472596,VER
6,197.16336923681786,196.25144820081675,VER
7,149.11206620968937,163.566786857545,TSU
8,209.498741369297,202.2223258840688,VER
9,214.2935779655946,215.0924270044544,TSU
10,118.37008116500922,112.29616810664022,VER
11,226.75530378122448,224.34346150059324,VER
12,118.23818647191058,114.2901723721392,VER
13,221.05666969414688,217.90588862929818,VER
14,274.4993644565079,274.7822769497143,TSU
15,214.7081883787384,212.39471410079224,VER
16,183.2860090912653,182.30306052724953,VER
17,244.87686840080806,242.7664669111111,VER
18,196.19615905324676,185.8249531771168,VER
19,177.56654306348682,173.30012126747448,VER
20,264.08379097987336,260.2285390980545,VER
21,290.25519450666667,287.71759785614216,VER
22,163.87954679034584,156.40031983056258,VER
23,210.88318437856358,204.97278929310886,VER
24,271.1427256670928,269.94384954276404,VER
25,286.54500096,283.55000106666665,VER
