Minisector,BOT,KVY,Fastest
0,295.1484610318559,299.59440810232144,KVY
1,305.5606515328321,317.87493704661654,KVY
2,310.34765022892225,327.22753560238846,KVY
3,310.77258773333335,325.7962728421053,KVY
4,211.49549333383248,186.1573735463978,BOT
5,229.60329205489566,227.259826834262,BOT
6,273.69504044535705,273.7405806119177,KVY
7,281.28709659399584,266.3660636289855,BOT
8,199.37137114838708,190.40706817851165,BOT
9,161.20868614150945,151.3462860985531,BOT
10,194.61817808631315,194.32069206591734,BOT
11,266.00925647026065,265.1611453408618,BOT
12,260.7577906285714,250.72422431712877,BOT
13,237.92212163444353,229.4584895822407,BOT
14,279.0037876363636,269.5047615271222,BOT
15,185.98270672555935,174.32877075649944,BOT
16,228.28564732839507,228.5395056103963,KVY
17,249.7561639100539,250.87673723809522,KVY
18,143.10077933837928,138.90463059374454,BOT
19,247.8044889198157,248.25537908201557,KVY
20,285.3550862822511,286.9938487365079,KVY
21,258.94321277518713,255.76862754285716,BOT
22,153.34130679197727,146.2303917170924,BOT
23,221.4375908549671,214.53120679007762,BOT
24,277.22865217662337,275.4346257846117,BOT
25,289.52916693333333,,BOT
