Minisector,HAM,RUS,Fastest
0,305.3469864285714,290.2706583970441,HAM
1,325.5007713476768,301.2601040281437,HAM
2,330.83184518095237,304.2790849673203,HAM
3,322.08535932054656,300.88038352791784,HAM
4,165.90850738410884,168.79118912419332,RUS
5,207.29170627968026,205.78017027849094,HAM
6,229.28434560987017,234.91135699096225,RUS
7,266.1193833003361,264.5476238139224,HAM
8,245.11493446133332,255.4298939293607,RUS
9,156.17087198154704,158.84847464832558,RUS
10,215.9798985346032,223.1259146102367,RUS
11,130.7016206483068,123.1734249733173,HAM
12,232.39343860242946,221.950772005772,HAM
13,176.80877479405262,174.1879805723821,HAM
14,216.40203248825665,205.13632505175983,HAM
15,237.59158530224443,242.93651120966004,RUS
16,269.2575081916266,263.47779040404043,HAM
17,293.13770768625244,289.00897070668594,HAM
18,148.2687459206403,161.78176440626615,RUS
19,161.88792179637815,158.4935031371604,HAM
20,132.3271029747298,130.09163539472925,HAM
21,224.53596818493506,221.47131122025613,HAM
22,257.72236451245294,266.1917900472663,RUS
23,244.23154254560464,254.51115105625118,RUS
24,272.0733163138322,273.8349927849928,RUS
25,288.87000064,285.15250047999996,HAM
