Minisector,PER,PIA,Fastest
0,278.2479857747879,276.89220436544156,PER
1,296.63614743088027,295.0629951074517,PER
2,233.47430831758288,218.819293019166,PER
3,109.04536906913991,109.03583936064723,PER
4,127.47064641922469,130.42160218416285,PIA
5,246.82786069760002,246.2080464662904,PER
6,241.55825534110923,241.092901739445,PER
7,118.77636863966318,118.01312475211878,PER
8,247.63331550234815,242.75066045186816,PER
9,256.9170765701587,241.8452081511111,PER
10,203.99820452689357,196.26277817498413,PER
11,138.0184475191064,135.15824340536338,PER
12,199.77692013110212,197.9791436798308,PER
13,260.33386750720246,256.6823603410871,PER
14,109.80053691327593,109.0013116386514,PER
15,183.24941481820787,186.79580812766852,PIA
16,252.1863807728538,254.2623666012207,PIA
17,286.9038509152183,289.65118968629264,PIA
18,301.3877822326251,308.038172464,PIA
19,319.1590067861295,324.2807654087982,PIA
20,328.80034740285714,329.0598714627481,PIA
21,162.99297351889453,173.2837767985526,PIA
22,140.85803632196001,125.37091517335581,PER
23,191.7420909709371,199.02813250685813,PIA
24,237.12999436300632,228.03634763676325,PER
25,,261.60625039999996,PIA
