Minisector,GAS,MAG,Fastest
0,283.9668939393939,290.78344347638284,MAG
1,154.70618281316789,167.7735632591739,MAG
2,175.27297621471862,165.56827052424907,GAS
3,251.88371936907828,249.98263314471075,GAS
4,279.79941379518453,285.1911488129293,MAG
5,243.5622453548896,248.61599134199136,MAG
6,218.92915549302833,219.58412827791508,MAG
7,150.75618945277813,149.53679984803827,GAS
8,229.27715571717172,223.88361886641928,GAS
9,280.4547727030303,278.6628905533747,GAS
10,299.3600888313213,297.09644736,GAS
11,308.229644089685,305.74659428870217,GAS
12,309.87083333333334,310.95624996799995,MAG
13,301.08889111619044,309.03332408910535,MAG
14,131.73761682185787,134.95888807064227,MAG
15,121.10620090977334,121.31428489458266,MAG
16,101.26213923292383,100.75340773493643,GAS
17,229.198391056704,225.85570156108616,GAS
18,286.29823701043085,283.9232539225397,GAS
19,306.7286470882382,305.84826329165094,GAS
20,316.5473376480994,317.71100279026473,MAG
21,312.6121716612345,318.87922123015875,MAG
22,112.07044881512266,131.44321623231644,MAG
23,199.40942512504316,197.75112627651262,GAS
24,268.503709141175,267.70805194805195,GAS
25,,281.1214281142857,MAG
