Minisector,TSU,HUL,Fastest
0,249.45692882362303,250.42127790225953,HUL
1,284.7479092099048,286.750568329697,HUL
2,179.2825028443224,173.2880276060037,TSU
3,159.79065162849503,160.55306237353383,HUL
4,256.0692460319414,257.3598581655065,HUL
5,268.2868110715509,272.27580260481795,HUL
6,233.97351907849622,240.87789786144182,HUL
7,204.8984559717983,208.6014394631796,HUL
8,162.845806772047,161.14003919830688,TSU
9,216.54303290612248,216.28580628430643,TSU
10,269.45561285968256,270.280492379798,HUL
11,135.55955436565682,119.68426415457255,TSU
12,209.49219061534862,216.945008046541,HUL
13,276.3727231462434,277.44887458632036,HUL
14,295.528412888658,297.5978411119192,HUL
15,304.9730324177778,307.110326843637,HUL
16,235.04651390093835,237.56738442051284,HUL
17,128.39105183019473,129.7413551219493,HUL
18,124.11248118736644,130.52796156531633,HUL
19,120.24561936611595,121.94485695584808,HUL
20,225.83463740145882,229.62265544139854,HUL
21,257.7741751836791,262.26721652078186,HUL
22,242.77854691003174,237.83540046217604,TSU
23,217.821463940922,217.72613665562588,TSU
24,133.36998497115226,140.60070992829574,HUL
25,215.8750048,213.22500480000002,TSU
