Minisector,RUS,BOT,Fastest
0,296.4725212482951,306.61128752592595,BOT
1,236.85590155767193,234.31219005507705,RUS
2,135.12382603096057,120.74817404087291,RUS
3,216.22618672620078,213.6416505221989,RUS
4,259.17110397327355,260.7701439081237,BOT
5,283.4104980711111,285.6662618340741,BOT
6,293.1325000147301,295.17230408784314,BOT
7,270.9332217697371,266.2417646079501,RUS
8,173.7376395986134,163.51025353260863,RUS
9,234.7334543130326,238.33655686066777,BOT
10,265.90986135111115,267.54884471932775,BOT
11,257.62443995597886,250.03519470998685,RUS
12,209.00121010250072,198.83434555076923,RUS
13,129.40210085506143,119.7978916166416,RUS
14,123.24537219919824,124.90838297904864,BOT
15,159.4290864807895,142.1187099315374,RUS
16,121.46489811782067,130.81653302448595,BOT
17,231.86386151762576,228.8267376446142,RUS
18,176.55280945218533,157.2323068060284,RUS
19,163.14512389468564,169.26937524380952,BOT
20,244.63542271435622,245.33597455311894,BOT
21,269.94262298939725,270.2865412486773,BOT
22,283.42169328507936,286.80980049388467,BOT
23,291.8290692886003,296.48857908899663,BOT
24,295.72209574331026,302.54679491282053,BOT
