Minisector,RAI,SAI,Fastest
0,276.1204650605557,267.2402326192431,RAI
1,293.7905680753584,286.7000032644184,RAI
2,301.6098207560679,292.18786991531834,RAI
3,130.7866083078298,125.75517200592446,RAI
4,194.46322437613614,196.77855987119221,SAI
5,261.1275580105663,254.53487149134045,RAI
6,142.22402730824345,137.0729362554697,RAI
7,203.70230925831143,200.0495929866322,RAI
8,263.38291268697174,257.3190844675078,RAI
9,284.8518231333333,280.1079824055884,RAI
10,236.56821911569492,230.70342541328915,RAI
11,188.85383665808905,171.4649236059424,RAI
12,190.19947618599798,187.4974803280432,RAI
13,148.13867114297736,139.39445037879875,RAI
14,172.92635278380507,170.07648355238095,RAI
15,159.67312192112718,152.57012517991294,RAI
16,209.7768124360351,215.091403696665,SAI
17,237.93504876109463,226.9957857964985,RAI
18,239.8059039921711,230.8424839545724,RAI
19,256.9129724991625,235.8338992479827,RAI
20,142.2492002114188,141.84052074671257,RAI
21,138.15756358713358,131.0107681489817,RAI
22,166.7348256902939,163.60178456380825,RAI
23,151.08685182581635,142.69587276857578,RAI
24,231.47848675285007,226.15101924953646,RAI
