Minisector,NOR,LEC,Fastest
0,292.4475,292.52812501333335,LEC
1,289.36646836825395,292.9972147746238,LEC
2,278.27599212698414,293.43859649122805,LEC
3,228.72056700524047,229.55486594410183,LEC
4,231.97238142171426,228.235165696,NOR
5,112.65966127644866,114.63946442536765,LEC
6,224.05385726419752,216.2983523282051,NOR
7,273.182168530656,267.7232888090107,NOR
8,233.5036923062857,250.63043311304347,LEC
9,116.222283946683,115.14203134366748,NOR
10,238.88315915555555,233.02309585066666,NOR
11,252.5389649742443,252.53869329637183,NOR
12,135.96538073391403,137.37582913488373,LEC
13,215.56554400000002,211.76783363329335,NOR
14,266.7621210666667,268.22491522902493,LEC
15,229.5648144847253,225.98504793563623,NOR
16,157.37186477798983,155.7977082817408,NOR
17,236.91842357639075,241.95518380160786,LEC
18,125.67068941544818,123.24012623021262,NOR
19,143.66392305133564,143.80351273775912,LEC
20,185.40991332316577,196.09573469321782,LEC
21,257.50634017391303,260.22159122424245,LEC
22,274.95876266080165,274.1232105889548,NOR
23,279.3869896707483,279.78187514666666,LEC
24,289.0837796571428,286.03115083174606,NOR
25,292.9458336,,NOR
