Minisector,NOR,VER,Fastest
0,292.45572067927134,96.73209049718415,NOR
1,312.4125,136.38138755453969,NOR
2,326.65256418461536,206.26439765714284,NOR
3,335.1671849196639,246.2106772,NOR
4,337.7085714285714,263.4852273454545,NOR
5,314.43352255584415,199.206707808,NOR
6,220.30076098228955,129.75821389105744,NOR
7,103.94505097142857,122.1770849749829,VER
8,101.93294131814159,193.69892912761904,VER
9,199.5208016227343,214.42271798777574,VER
10,238.4748018285714,243.68055585185184,VER
11,263.52751893172933,275.84727040571477,VER
12,261.9262464242955,293.494444562963,VER
13,165.49720396087827,299.68602936470586,VER
14,114.2168351847619,275.8110706742857,VER
15,134.32363141333332,234.25761320727273,VER
16,202.8448888888889,212.0653023460838,VER
17,233.36440222608698,211.22110312727273,NOR
18,239.03148157037037,143.18928237860962,NOR
19,219.20671817333334,143.78310855495496,NOR
20,209.82440664565658,191.32581392761904,NOR
21,244.27493089777778,225.0909090909091,NOR
22,259.29453128,148.72161336666667,NOR
23,263.49901711383217,,NOR
24,180.06720978962963,,NOR
