Minisector,ALO,VER,Fastest
0,303.2877589555073,313.2436649632653,VER
1,215.88595791227053,223.7389670067999,VER
2,131.2421071079162,128.4230684432807,ALO
3,218.78494396919788,217.54224091728824,ALO
4,264.286870075739,262.8839700682508,ALO
5,288.69006099666666,288.28489295988453,ALO
6,295.6538807508497,304.40800792666664,VER
7,257.71132075202064,264.5515576206017,VER
8,171.53207560799308,168.06968509386914,ALO
9,240.38311140567924,238.85391736905063,ALO
10,268.0211468265793,273.4338726278095,VER
11,259.6007849356725,242.68839738590114,ALO
12,206.2024606429807,199.0748554781447,ALO
13,124.43437185975549,122.12784320942262,ALO
14,125.02678993691562,126.90838403636363,VER
15,160.50673848356797,149.45544734827928,ALO
16,123.17550473196324,131.5090591191742,VER
17,226.50242732946532,227.61838524444443,VER
18,173.0156545219614,155.37241045378084,ALO
19,162.7649513367119,165.9833625443377,VER
20,244.47506570333334,244.73557369927195,VER
21,271.8005329766261,276.1805674258824,VER
22,293.4030633720635,293.8859718383069,VER
23,312.34130318933336,304.30580372517005,ALO
24,323.27148432285713,310.4561223764172,ALO
25,327.0,,ALO
