Minisector,ALB,PER,Fastest
0,323.4057957533835,300.60126812753623,ALB
1,330.854414340457,302.2624191379886,ALB
2,273.2210144927536,257.3153303405714,ALB
3,160.776511325209,154.19580262795415,ALB
4,165.7093842334517,169.19133839619047,PER
5,215.1506944,217.61921467898514,PER
6,227.70769565480464,234.5930602713954,PER
7,214.83333333333334,213.2545216904378,ALB
8,262.4442746243912,268.00296164793434,PER
9,257.03312629399585,252.4880146730267,ALB
10,273.58779761904765,269.635178298142,ALB
11,270.6834553628359,269.286448919192,ALB
12,262.93416666666667,269.49049975466664,PER
13,260.6371747631727,265.8468132220603,PER
14,175.6642857142857,178.90056249987128,PER
15,236.49413142956053,239.42741284579498,PER
16,210.4437602627258,208.51343801476733,ALB
17,177.87131599485198,176.14731693913453,ALB
18,258.2708333333333,258.6600052775613,PER
19,285.6422905660826,285.81208768261274,PER
20,251.4352380952381,252.08111304674318,PER
21,190.72845751576148,183.70502288393882,ALB
22,257.68831168831167,256.6002585633747,ALB
23,283.65063085116816,285.5151441990827,PER
24,296.3712121212121,296.3128624695652,ALB
