Minisector,VER,PIA,Fastest
0,243.40965125587303,251.17189466893672,PIA
1,139.7420807821131,136.29575279343567,VER
2,280.0404319040353,280.78467449766237,PIA
3,308.8107269164886,313.8910914289216,PIA
4,286.43489622888416,298.9078713846154,PIA
5,315.3098398874074,321.4970400630303,PIA
6,321.4435557861696,324.2734034717582,PIA
7,313.4829764796537,318.5317316806324,PIA
8,198.11539905896467,184.83996862776334,VER
9,192.7685652517203,193.1643705227165,PIA
10,178.81326336669588,167.91604886484805,VER
11,169.79031568843098,173.70566283344982,PIA
12,240.82504665259887,248.61242069049229,PIA
13,258.110362356934,262.9305304049847,PIA
14,267.5723391107175,262.95122592567856,VER
15,247.09811303761083,248.56195593650793,PIA
16,177.73982889108996,174.01154994815735,VER
17,188.81525902356154,187.00037120525954,VER
18,234.80864196158268,250.86623283713843,PIA
19,291.40059285314567,297.63062437176256,PIA
20,319.14155053592253,316.02491217646826,VER
21,303.654763658746,292.9020590571123,VER
22,280.2148214728192,277.86238534433863,VER
23,243.9859483534808,227.25310051442713,VER
24,122.82858746015414,120.57480279711804,VER
