Minisector,GAS,HAM,Fastest
0,294.08921079780663,296.38773448666666,HAM
1,234.41540364811286,227.37716747172072,GAS
2,132.15835970696827,132.22198395474837,HAM
3,237.62605079034628,229.64466074120438,GAS
4,182.67757015896973,189.4025660835324,HAM
5,235.1677275081204,238.7958517123664,HAM
6,221.72988086830944,224.04213114838709,HAM
7,244.6228171238095,258.5381645632655,HAM
8,281.39508684384,285.88609453084445,HAM
9,206.88509996396397,201.87294112577416,GAS
10,196.31486035151795,204.43982159788382,HAM
11,266.65530739149204,270.0540667893219,HAM
12,207.74923878308243,203.21101547822474,GAS
13,243.4005636569677,244.57946119265307,HAM
14,285.64152654374607,285.2902586852321,GAS
15,300.99473596754854,301.2580499398337,HAM
16,302.2531593904762,303.4299603088849,HAM
17,230.80399852536178,232.09592358524864,HAM
18,263.8101679865201,262.93827526396103,GAS
19,291.1535363441795,291.8559753922818,HAM
20,304.4185231220897,303.1731364830883,GAS
21,305.1056953047895,302.48938395529274,GAS
22,152.27161598035158,154.0218289682035,HAM
23,229.14414014008332,234.01022748133414,HAM
24,278.42957771804447,281.798179222827,HAM
