Minisector,RUS,STR,Fastest
0,280.03725054839003,302.6732308126154,STR
1,150.00580410233198,151.93480865320893,STR
2,179.39569966389962,168.48455955096654,RUS
3,249.77236125102368,240.8798325418549,RUS
4,280.7466079344427,282.7375921138278,STR
5,242.60013945541166,229.64785014386146,RUS
6,225.68809458637588,203.58619357295942,RUS
7,156.7223317688889,148.12191930471522,RUS
8,232.32851530793653,224.6163266634339,RUS
9,279.7053844125888,281.3639450901264,STR
10,297.36239737797956,302.6378186593464,STR
11,304.58052450865677,321.37485265112304,STR
12,307.30341539954657,332.44038622327986,STR
13,296.6993307498565,322.7003269965059,STR
14,128.55946097040132,127.35669181949255,RUS
15,119.33816934543952,113.63505049154145,RUS
16,100.51639247179249,98.70851545057049,RUS
17,234.8728928799825,234.45352659967324,RUS
18,286.89428478154497,286.89476016737717,STR
19,302.28771930760234,317.8482135495238,STR
20,309.9121202873686,334.9722998170105,STR
21,307.45805623318904,334.40710959477127,STR
22,130.42432938779157,115.15109708608713,RUS
23,204.60013076820593,199.60114883653236,RUS
24,266.95717991201366,271.3286797846791,STR
