Minisector,PER,STR,Fastest
0,287.6875344545302,296.19753756536795,STR
1,306.3845240888889,325.1934704108339,STR
2,303.15765254240364,312.92392335238094,STR
3,186.90636536547618,176.12803502337545,PER
4,225.75500788231645,213.14911825437704,PER
5,216.67241375632184,199.34627887126774,PER
6,197.98150413929085,189.04345567160206,PER
7,218.29511547586208,211.4919254222352,PER
8,258.47487938164255,254.45007323738488,PER
9,264.5849634252588,252.98620008106667,PER
10,182.72907132869503,169.85682375718457,PER
11,243.6152712087912,238.57363803076925,PER
12,118.92144404888633,117.23930841761006,PER
13,228.57389889241622,226.92589471734624,PER
14,274.2904716183599,273.3625,PER
15,286.07428164103396,281.72897023408484,PER
16,209.72125204644348,204.47834133824887,PER
17,189.22773340131354,186.4407925355786,PER
18,269.23358585858585,269.26642287384715,STR
19,295.0780217518114,295.8657599892229,STR
20,307.77597219555554,308.4404219184854,STR
21,309.1502380952381,307.21072914666667,PER
22,265.77148485806083,239.9336539076923,PER
23,119.97827053561058,119.85473248595278,PER
24,247.21618613333334,245.83529628444606,PER
