Minisector,RIC,OCO,Fastest
0,280.20362291937414,273.82252258250116,RIC
1,305.6278136843908,294.725626710492,RIC
2,291.2663535256827,286.9519178835979,RIC
3,174.2699952492998,170.80047748551712,RIC
4,117.84723341620666,114.01979299140929,RIC
5,235.03291968426322,234.40293540496612,RIC
6,287.9244804132433,281.55031562428746,RIC
7,298.14020876405897,292.83948383492066,RIC
8,161.893422039981,167.3337311876167,OCO
9,137.78478151027696,133.75497465490588,RIC
10,251.79387984974798,247.98446787242267,RIC
11,294.28878448197526,284.662323645655,RIC
12,299.63500746122844,294.38739020284214,RIC
13,271.96941751558245,267.5436417550922,RIC
14,299.616625054368,295.00499710135927,RIC
15,302.62381246897684,300.9119853515021,RIC
16,238.76170421001126,240.29401206268915,OCO
17,214.79072338199148,212.47731725561218,RIC
18,282.6037576027546,275.5794236182942,RIC
19,315.9147304878081,302.46463243367714,RIC
20,324.95535535031837,307.80776279016953,RIC
21,217.01832023479838,214.68179201177597,RIC
22,251.83013744127908,247.02114116993062,RIC
23,134.93237863754675,135.02621105523482,OCO
24,213.31422362558567,198.78795415451353,RIC
25,255.70833066666665,252.79999999999998,RIC
