Minisector,VER,STR,Fastest
0,307.42842922851906,298.6535217259979,VER
1,250.39248807093594,237.94665663014717,VER
2,192.18364470579417,189.60211894707658,VER
3,266.5051079923782,262.2760156616412,VER
4,220.97345214539118,221.95723906798708,STR
5,112.8060572803348,111.05282729824123,VER
6,179.3738513710162,176.34383709989294,VER
7,257.8203699753086,257.658985556494,VER
8,289.0975087723189,283.87694252267477,VER
9,306.57238595445136,296.5711808444444,VER
10,313.26889727370764,299.3604166222222,VER
11,229.85037977782625,227.91691581414142,VER
12,144.73846639020405,145.59771003033066,STR
13,259.1692017100529,254.70545035388236,VER
14,294.66049840625817,287.06733380266667,VER
15,307.23325227359305,291.86227691667654,VER
16,299.8594021478088,279.3734106559401,VER
17,246.19271377865354,240.55406541071915,VER
18,177.47173517298958,175.08423773467283,VER
19,178.9937493814616,180.6844329691973,STR
20,174.20710863442287,170.76271253067924,VER
21,237.5097816398961,239.8930096860215,STR
22,121.59889017665279,122.16589613346447,STR
23,195.0286703710707,192.75603313251003,VER
24,279.4304558284475,276.8716354051282,VER
25,,292.39166720000003,STR
