Minisector,ALB,TSU,Fastest
0,276.81374724624794,275.5472779677668,ALB
1,298.0526604299847,296.3825065917536,ALB
2,297.40263543191156,294.57054467128427,ALB
3,176.3954887433739,179.34785411416317,TSU
4,115.6744517679884,123.51781315316052,TSU
5,235.97798065588287,237.98164889665182,TSU
6,279.50344306056,279.31382144843474,ALB
7,293.92588949903876,293.04329859555554,ALB
8,184.27835937842295,183.55976034792437,ALB
9,133.95479255346433,144.7476182177872,TSU
10,250.34114803521294,249.9219491762425,ALB
11,288.7390909991342,287.0208282866619,ALB
12,304.1649073750049,295.69010735091075,ALB
13,285.40046034052983,276.4106580465934,ALB
14,297.1804265628241,293.4072271473728,ALB
15,301.4512317835749,293.5316790109091,ALB
16,255.30346465697994,254.68820067578645,ALB
17,229.32193351927916,232.87337653778394,TSU
18,281.24880667610194,276.2443920609437,ALB
19,298.84568873055457,296.95824168019703,ALB
20,306.8030110102751,297.25885801888296,ALB
21,241.4825558660806,234.97421246690115,ALB
22,262.624042928236,258.9072951480335,ALB
23,141.4547083125046,141.002486207555,ALB
24,214.5247752773458,213.92193590113024,ALB
25,,255.968752,TSU
