Minisector,VET,PER,Fastest
0,268.2828426666667,263.8300279512961,VET
1,300.60975389306446,293.88155948272964,VET
2,316.2333688373484,309.98395783829596,VET
3,325.4307935593651,321.55972246349205,VET
4,330.69006005905055,328.6579298240325,VET
5,332.8705356952381,332.4982144,VET
6,287.81960784313725,285.441403,VET
7,114.35888239901217,111.51865333532479,VET
8,150.72452366730158,148.43960590541852,VET
9,255.1195272871463,250.8315804631579,VET
10,292.6343748666667,287.02763952,VET
11,247.76506889624062,242.53166933024963,VET
12,92.96323903895318,92.8946385058172,VET
13,110.1733418112866,109.96486329805438,VET
14,217.07024707720524,215.08253705325612,VET
15,193.63249975466667,183.2892961909432,VET
16,227.19856372975832,220.4892852825397,VET
17,191.57023110699512,188.68363087573223,VET
18,226.15134814409512,223.32498395961693,VET
19,277.0169118745098,274.00802008375894,VET
20,293.4182637091262,287.16095341361125,VET
21,155.55032927947457,153.25524194408604,VET
22,104.075073738717,98.59335061524416,VET
23,120.5268991692916,123.61997214058856,PER
24,206.88623188405796,206.9543543896104,PER
