Minisector,HUL,RUS,Fastest
0,276.22861153710284,275.7096921859364,HUL
1,293.7030996171274,298.06579888126987,RUS
2,288.5392237238598,300.5280451753383,RUS
3,174.75410005963528,184.4439425108225,RUS
4,116.6118580534224,115.18936414378337,HUL
5,235.74648820876786,238.65166887975286,RUS
6,279.35774156918166,282.92620830710285,RUS
7,288.1180057004329,295.3155290084849,RUS
8,174.86848252486774,169.9810116540985,HUL
9,140.96418747475943,139.15483061911942,HUL
10,250.7143886309297,252.02306208211198,RUS
11,286.3390364687973,290.10365876285715,RUS
12,300.50507009587767,300.15484160345153,HUL
13,280.0695596643771,282.26575990327274,RUS
14,299.71836058320343,305.9984698110653,RUS
15,296.2941808979488,313.58517601357573,RUS
16,250.23495160439558,236.27467358826038,HUL
17,228.01488153625954,226.63108007238094,HUL
18,278.4716194115751,281.14599529581255,RUS
19,302.1070964723022,306.95235996408167,RUS
20,305.75288088694464,314.24629922285715,RUS
21,238.97529295563467,228.11360814214783,HUL
22,260.21539445106146,261.21640507836463,RUS
23,141.09626592426807,128.90670323628817,HUL
24,218.0700247496658,217.472444994345,HUL
