Minisector,HAM,ALB,Fastest
0,252.09361830275554,251.64184773118714,HAM
1,281.57458325333334,281.04874976,HAM
2,171.96249462275216,170.65871551190784,HAM
3,169.97526149380494,169.01328753909024,HAM
4,261.19617634707777,259.37009342466865,HAM
5,264.3632597017811,271.02642048484853,ALB
6,219.8441744005983,221.31280880987654,ALB
7,206.43102483885212,206.15991371034482,HAM
8,158.15607825162905,158.66186812991725,ALB
9,220.04887876923078,223.33076885567763,ALB
10,273.8818181818182,271.72925449555663,HAM
11,127.53026165830957,126.51625133690702,HAM
12,218.9455284167383,222.1842488908425,ALB
13,272.73636363636365,273.93698688765613,ALB
14,290.13520837333334,291.849574770068,ALB
15,294.975,293.15500000000003,HAM
16,219.78192239858907,222.64221794426808,ALB
17,135.21884454545454,137.02163782059066,ALB
18,140.15027046786443,142.52545457628318,ALB
19,124.97925481499495,123.28513774569515,HAM
20,222.26210542292662,230.8581732923077,ALB
21,245.36904730209525,258.6223086641822,ALB
22,235.36763457634888,230.81385096202584,HAM
23,211.74209820689654,215.59027299837126,ALB
24,147.4552390404584,147.88361253578114,ALB
