Minisector,GAS,HUL,Fastest
0,262.1746533361165,268.8063183214652,HUL
1,134.83518092320585,138.10467813226762,HUL
2,187.21899857492448,189.91702436736546,HUL
3,240.29583303111113,243.57009498817987,HUL
4,260.32611911774706,261.0875853823129,HUL
5,192.80033963977456,175.00854845398877,GAS
6,141.43136747456995,144.71626596246384,HUL
7,178.7210426303963,176.44821302857142,GAS
8,103.43042975949322,102.02785079304005,GAS
9,76.51525203355534,76.82925138266971,HUL
10,90.80037647267878,91.98714571521153,HUL
11,164.92716891480885,174.6436099958929,HUL
12,237.20611131259258,243.2304919072314,HUL
13,262.9630977776779,268.15261769050664,HUL
14,278.40316191876315,279.7602578051282,HUL
15,126.17588927550747,115.57711838819469,GAS
16,126.68734733123127,135.13982372917434,HUL
17,188.58139490450156,196.08560364181065,HUL
18,188.54535003571064,195.92238152635971,HUL
19,217.45173333431842,220.69339381618326,HUL
20,126.99572300567652,135.11115114140676,HUL
21,118.09909665265606,115.00112860927523,GAS
22,86.1608230564057,89.92704517986459,HUL
23,187.25467188124202,190.0179434530174,HUL
24,241.9806340307961,247.84214814437556,HUL
25,257.6374976,,GAS
