Minisector,SAI,TSU,Fastest
0,293.8499419160248,296.03729911688316,TSU
1,157.33382892790135,152.7535665187779,SAI
2,153.9921448879336,154.70311966230508,TSU
3,222.67616004481832,226.45655723377777,TSU
4,285.59067424424876,284.54078764517624,SAI
5,296.33746314323383,290.17064056477705,SAI
6,152.59238339768748,141.51181927619047,SAI
7,141.58786604466928,142.11448653089948,TSU
8,147.10669844866467,137.13838731004728,SAI
9,184.5921621092066,187.3018810763498,TSU
10,135.8015485890527,130.08877265364723,SAI
11,127.53170552832603,121.06510393872303,SAI
12,151.83857423007214,171.80301622564542,TSU
13,267.32522295415873,268.2793973395169,TSU
14,294.50467787482444,291.7025135824367,SAI
15,151.47505602066377,147.75031970990386,SAI
16,207.4953433144351,200.88263807339345,SAI
17,172.37442083229385,174.85743496088045,TSU
18,272.35451263622195,273.78744974612795,TSU
19,295.67293768138717,295.6722353926197,SAI
20,308.3707804292283,309.63344384609525,TSU
21,315.87041670933337,318.1624830846259,TSU
22,320.6685327951625,320.93913365502647,TSU
23,323.3604167253333,323.1248214285714,SAI
24,324.25581817893607,323.4848867708054,SAI
