Minisector,PIA,HUL,Fastest
0,246.80929661887447,248.61454209890456,HUL
1,283.29665811266955,286.31535082472726,HUL
2,178.7978626030001,178.2430277804277,PIA
3,148.41656446677385,162.94765621357712,HUL
4,255.5375054326702,260.45941848920324,HUL
5,271.99711893809524,276.2485321169474,HUL
6,240.25507352845574,237.12452336575262,PIA
7,209.08538283783136,209.32776650898796,HUL
8,168.86105863234474,157.65618124856147,PIA
9,218.74579607450798,212.83754104730772,PIA
10,271.7223350658806,271.8456297736989,HUL
11,126.85239845557999,131.68506212263887,HUL
12,208.0811969439242,205.6587456193633,PIA
13,273.751235001068,273.88891954882536,HUL
14,297.48061574200784,297.4952756175017,HUL
15,308.23655818153605,305.8661213631117,PIA
16,242.5206871445177,248.2458863142874,HUL
17,129.70063127187055,126.98228534614923,PIA
18,131.34922870233592,127.18040701964402,PIA
19,123.67533284317369,123.79926234120299,HUL
20,226.94229672058088,224.31867806094627,PIA
21,261.7529498048895,260.35343973551545,PIA
22,232.859633608366,253.87313132440647,HUL
23,220.65273319068467,218.47278864586082,PIA
24,141.66248273740212,138.5950266818681,PIA
25,216.89999999999998,210.87166933333333,PIA
