Minisector,PER,ALO,Fastest
0,290.67744954761906,305.01745774500745,ALO
1,300.34682554920636,320.3596708892022,ALO
2,275.09607916596826,301.47150471707226,ALO
3,104.91190515627494,108.82921064364564,ALO
4,224.86916688894448,224.0813498473651,PER
5,270.37946480346324,268.79441169439156,PER
6,215.10132475791355,203.52516949955856,PER
7,168.17084227345552,166.26144750840135,PER
8,208.50221265985786,211.1314473998186,ALO
9,218.34284691809523,224.23303895063034,ALO
10,118.5854996457008,119.45617629850506,ALO
11,230.51684280041127,231.1273360252015,ALO
12,124.04132959601965,119.42746439859351,PER
13,222.0150836682422,219.02011558596254,PER
14,271.54492749271395,273.0197513586147,ALO
15,224.3945464507864,217.38326257161197,PER
16,194.83195413312714,201.9737887529837,ALO
17,248.37142664410254,255.26179026230744,ALO
18,212.30179040545792,210.88386170894373,PER
19,183.22815342105085,196.5323976119006,ALO
20,262.168676893372,262.1547618238457,PER
21,288.95156959769116,286.2302587900657,PER
22,172.19942459568787,173.63633561033942,ALO
23,210.41451025645932,201.67254376673648,PER
24,268.7730528806885,269.0256411997294,ALO
25,283.2083328,281.70833333333337,PER
