Minisector,LEC,RAI,Fastest
0,300.07112115980993,314.1597018120894,RAI
1,255.04870790189997,247.70992852347786,LEC
2,208.32465320966776,198.8272130752786,LEC
3,270.94604991929276,268.4167835839724,LEC
4,232.55351916430124,219.2332094721591,LEC
5,117.50850640531468,116.58657532131221,LEC
6,181.65978151725108,181.62168180216514,LEC
7,258.5522659646258,261.75601418301096,RAI
8,287.43139449982186,289.55852680955934,RAI
9,300.7141383495033,302.642172182275,RAI
10,305.98150926725873,306.1997438282145,RAI
11,237.82983907967798,194.88060125365428,LEC
12,147.17883323004764,148.6092928002024,RAI
13,259.4670791994365,263.1921513792844,RAI
14,290.34489456477866,293.2337898197657,RAI
15,300.5968219600119,301.60521151502184,RAI
16,298.17888300025936,297.9875649174852,LEC
17,269.3034949669038,247.62026033123186,LEC
18,195.98640837560603,185.1777775383537,LEC
19,191.63607377133033,169.56235964218945,LEC
20,194.5747568974024,211.62750795915713,RAI
21,253.778025667695,229.47485839374093,LEC
22,129.4347116553054,122.5324976452243,LEC
23,202.25711502390854,227.43705932458917,RAI
24,279.0749965258373,280.2821452177299,RAI
25,293.1562512,,LEC
