Minisector,PER,ALB,Fastest
0,291.79608396642215,297.02103546908785,ALB
1,299.1812919744538,304.40016664533334,ALB
2,217.97603740661728,216.55122476299016,PER
3,140.47478535483629,135.67645276140672,PER
4,219.3241519052237,214.5012530050598,PER
5,161.76317054256694,156.0118288607268,PER
6,169.2035304816357,168.2602162763756,PER
7,252.33748954138647,255.9642757445614,ALB
8,277.53760565122445,280.94302147633647,ALB
9,285.31812507123806,289.5515132294737,ALB
10,275.8085478577857,253.39641237897706,PER
11,243.56923076923078,236.11641852256156,PER
12,244.13633871390476,229.14013407505928,PER
13,215.3898460777022,202.867419262925,PER
14,131.66743083455503,126.30026794796908,PER
15,143.1311554399428,132.94128676546882,PER
16,170.97014448956133,183.8745292478863,ALB
17,242.54541687810124,259.5500036402116,ALB
18,236.6835086677376,227.89949600843443,PER
19,113.45713356374958,113.13047487240104,PER
20,190.08799038308848,201.42478187616294,ALB
21,198.98785884381826,194.85572113127398,PER
22,231.81033807788452,242.10273511869391,ALB
23,261.4402628778625,275.36361603809524,ALB
24,279.84358473724114,298.63735730926163,ALB
