Minisector,RIC,NOR,Fastest
0,294.7381722548303,311.01084623845816,NOR
1,303.8365075809524,324.9358980923077,NOR
2,309.9431735779389,333.1825551355311,NOR
3,311.10849189587304,337.7315478349206,NOR
4,189.2219681229448,210.73597177281877,NOR
5,100.01747614036266,91.55824515825734,RIC
6,202.4369753435166,192.6318342630806,RIC
7,255.16651647942368,251.65567320560223,RIC
8,281.8884331610327,272.1111115377778,RIC
9,291.5937514666667,280.722180291155,RIC
10,150.11660770539683,152.9585977904762,NOR
11,177.0918512643335,168.1130577545517,RIC
12,239.55070845691546,233.40789535438594,RIC
13,237.677629922807,235.6674798275689,RIC
14,151.52239818275572,147.8060919389453,RIC
15,213.3017691253975,213.96360732154196,NOR
16,260.4939129950867,263.05079464634923,NOR
17,281.8303566095238,281.3982767871759,RIC
18,293.9653348111557,284.6172221155556,RIC
19,301.2464288,291.01527815111115,RIC
20,280.81830198272394,283.24160406904673,NOR
21,145.63198368096127,146.46566532668004,NOR
22,206.94018003809526,210.53968518095238,NOR
23,256.45402529901787,263.3209425532757,NOR
24,280.98949799449247,286.7312505904762,NOR
25,,293.92500160000003,NOR
