Minisector,PER,OCO,Fastest
0,236.89905782365594,232.92873604463855,PER
1,284.91580100351416,282.28750026666665,PER
2,300.6941551639398,299.5212227982587,PER
3,307.35436057520894,304.93124995555553,PER
4,262.13631315538254,262.266780828196,OCO
5,169.01668160464112,164.80800516589147,PER
6,263.8902772938272,261.7479775746201,PER
7,283.1298076893773,282.52147442051285,PER
8,208.39908274938776,205.3473235449375,PER
9,221.29166213022455,218.06119585280317,PER
10,179.29518095222025,179.49614528,OCO
11,227.47281690956606,225.10199669563278,PER
12,202.60581316184604,201.18518459259258,PER
13,207.46750093714286,204.2849350448335,PER
14,223.13719246901934,218.03666671935613,PER
15,175.1579848063426,176.88267234285715,OCO
16,248.88563720706262,245.7457190694253,PER
17,289.1306873779582,287.51744543296707,PER
18,302.32191052628684,301.4521739594203,PER
19,284.81437083076923,287.8867511794872,OCO
20,127.53679131458013,126.51986700951633,PER
21,157.5310743629729,153.50995854707512,PER
22,154.96218169075686,148.63100331601674,PER
23,197.78133739590342,196.15333636727593,PER
24,148.20043631169392,145.67932091382002,PER
25,191.53333759999998,186.5333376,PER
