Minisector,STR,RUS,Fastest
0,281.86556722096327,277.6647278830702,STR
1,139.0042937082666,146.70535383519282,RUS
2,212.1649866601271,215.4423777685108,RUS
3,277.73222816646285,282.9219366483522,RUS
4,308.9545157757098,311.1965153660327,RUS
5,295.5665526090386,299.2965466272459,RUS
6,149.2090669931654,150.5060046960692,RUS
7,241.95846581529608,248.4493937847769,RUS
8,112.13454946421606,116.89007880575667,RUS
9,160.43748220168916,153.37143788856034,STR
10,273.14021241417294,273.2383160846498,RUS
11,295.7060310730083,295.6485615048015,STR
12,219.78759587238687,221.37449839231127,RUS
13,172.06847755437164,158.7666765608212,STR
14,273.08661232014947,269.47286430676957,STR
15,308.8487982305465,311.8943690204072,RUS
16,321.4336368992299,323.1474822582857,RUS
17,328.68760324204777,333.60444163207717,RUS
18,330.7554261167702,332.63805068761906,RUS
19,326.247196919916,328.0386364121212,RUS
20,211.74770698285715,208.1351108626346,STR
21,161.00903039554288,154.4173538662138,STR
22,278.4181436388955,273.99379541072807,STR
23,309.46067703583117,312.6897629169293,RUS
24,318.5277566401459,322.9564444184169,RUS
25,314.0,319.0708330666667,RUS
