Minisector,RUS,PIA,Fastest
0,312.8318408972542,328.99536458333336,PIA
1,241.8961835017489,224.6163542746495,RUS
2,133.19505103866814,134.93163562999501,PIA
3,218.0485471855639,221.9795615326316,PIA
4,266.18781357360854,265.9645751633987,RUS
5,291.56322316900366,293.0348469061224,PIA
6,307.6744067213507,302.29100582929436,RUS
7,282.6954605180953,279.1014705882353,RUS
8,170.1820670012766,180.36806784792,PIA
9,237.42896666442914,243.38427736006682,PIA
10,273.5345652111246,267.70626148705094,RUS
11,260.8372445446356,258.5873328642857,RUS
12,206.167099438376,214.15274376417233,PIA
13,122.78762251640212,127.02904489619047,PIA
14,123.35452731001153,124.53054749186818,PIA
15,166.08127421159472,168.90068051948052,PIA
16,123.61017166078958,123.05925188177903,RUS
17,226.8150373491707,230.99675505050507,PIA
18,183.6371940519865,178.7457513239442,RUS
19,161.96234646390363,168.71409511009523,PIA
20,242.99955481931042,249.52086308672676,PIA
21,274.6516893192982,277.9131216931217,PIA
22,292.9543079857143,295.04062495555553,PIA
23,303.4588629490554,305.1360719237027,PIA
24,309.25541686704764,310.93531481481483,PIA
25,311.0,,RUS
