Minisector,ANT,VER,Fastest
0,283.4222383085236,276.0287763428403,ANT
1,153.78787376556662,147.99851913129834,ANT
2,165.8208445846184,166.9763838316553,VER
3,246.96024367171503,244.43968898652577,ANT
4,267.8673684210526,273.2061079636363,VER
5,245.0464203491364,229.37964158064503,ANT
6,214.88876695511024,204.98517677621933,ANT
7,143.52167826363387,139.243602202403,ANT
8,227.58339902268398,228.1244803181318,VER
9,299.32839673377197,297.64619835428573,ANT
10,321.107436033115,320.7731324801101,ANT
11,325.48754167466666,320.48212192477155,ANT
12,317.96399697234295,314.90513884952384,ANT
13,310.8164457825427,310.90399900872177,VER
14,125.367183438346,123.43611468930904,ANT
15,115.74442709599639,113.16365735703708,ANT
16,99.12454581327354,100.90442646738687,VER
17,239.94448240899473,241.19611961366329,VER
18,306.15584704903864,303.4608010059783,ANT
19,317.6121522309775,318.8068838374194,VER
20,314.8109062533333,317.06704647155755,VER
21,312.5970944296613,315.7857145904762,VER
22,122.75939297044481,129.2285879758009,VER
23,205.85184332538415,198.3149162524606,ANT
24,269.99526363659464,263.6395461263238,ANT
25,,268.7083328,VER
