Minisector,RUS,NOR,Fastest
0,295.11083703161904,294.85579257824566,RUS
1,311.3297949103399,310.88268996208126,RUS
2,320.7392387370308,317.12822205155555,RUS
3,316.6348874856079,301.7560428152381,RUS
4,145.131477793167,159.0908630941436,NOR
5,205.018384451046,198.51447352156373,RUS
6,230.79356526222224,212.9500325185185,RUS
7,261.902409587134,256.8361716709849,RUS
8,235.12980182177517,243.04690050521037,NOR
9,158.00816452407474,150.52000475515646,RUS
10,215.27150331455525,215.05214071430873,RUS
11,127.3544479260937,124.89658212776537,RUS
12,226.64937859635313,229.50036522975338,NOR
13,172.37901603374627,165.5139451763593,RUS
14,213.95977506170274,213.10050975823114,RUS
15,223.55215767785725,217.37730681565358,RUS
16,256.13579879575303,250.2142548741551,RUS
17,273.5182543714927,277.70490393469385,NOR
18,146.47321393471165,144.38493802367313,RUS
19,168.25805895294263,167.44544589098822,RUS
20,140.64697536174148,139.10691183351662,RUS
21,150.91923913189734,146.6416935852405,RUS
22,106.66004126350431,106.68240184452499,NOR
23,216.2973295533041,219.62391504180084,NOR
24,263.5794406685041,259.512204754623,RUS
25,,273.27857097142856,NOR
