Minisector,ANT,BEA,Fastest
0,283.09225110926405,284.83803100952383,BEA
1,302.2487745246753,300.185423079873,ANT
2,239.97642688321832,235.77218901542852,ANT
3,118.30602383264821,113.97550214823248,ANT
4,130.84615180496593,136.6174748357897,BEA
5,249.33761262960954,252.82392484554342,BEA
6,270.7949410660652,261.3930877596265,ANT
7,125.33102862080831,123.06806125433361,ANT
8,241.64152218884436,245.99892392675608,BEA
9,253.83228008527473,252.46984007794873,ANT
10,209.27974815940468,200.018177795747,ANT
11,138.84256664211145,138.15508133093778,ANT
12,204.694767180085,204.53624543182684,ANT
13,268.1422737423894,267.4339210239703,ANT
14,121.52533919020293,122.17769089191658,BEA
15,193.35075592628084,192.5207968949459,ANT
16,261.59326681904764,260.13450181972036,ANT
17,292.2108733483749,290.41244178406015,ANT
18,306.4285402402005,304.47861500990507,ANT
19,312.3901304639488,312.09490731851855,ANT
20,315.51449656,313.2877563819287,ANT
21,159.09373500367386,186.95277436636385,BEA
22,145.32005749867247,145.3644236765151,BEA
23,206.8438318609184,207.2376112036981,BEA
24,241.38476416419763,240.4674829450093,ANT
25,269.5416693333333,271.70999808,BEA
