Minisector,PIA,ALO,Fastest
0,306.82790415157893,306.1588236392157,PIA
1,202.38621319717421,225.80956031784805,ALO
2,146.16713702538397,142.44440249718812,PIA
3,223.8063662509317,216.74023584993625,PIA
4,168.73171074760288,157.34649996750213,PIA
5,186.5317798873397,181.5208644981685,PIA
6,254.04752800504426,250.87725590588235,PIA
7,278.08694067221154,278.014374894396,PIA
8,287.6247796001411,286.228715720473,PIA
9,255.32314972825645,245.79885100020252,PIA
10,234.69154256699417,240.7838892686261,ALO
11,236.31738694209525,229.44857771876966,PIA
12,197.72000278479788,198.5254253362637,ALO
13,131.4716307074533,126.06831373902203,PIA
14,137.94550059837957,134.76434369342758,PIA
15,172.06649278538353,183.8201616328981,ALO
16,246.1549465748687,255.80828824554814,ALO
17,243.25556197417177,227.72735489267535,PIA
18,115.91444538541265,113.24300730278621,PIA
19,197.16452986809819,202.4310139705222,ALO
20,206.49178074048308,190.17846003983806,PIA
21,234.6361764144773,239.7640059579798,ALO
22,264.3474545183174,272.8625096552541,ALO
23,286.40722024515406,296.96410199,ALO
24,300.24259632924293,314.62772251377777,ALO
