Minisector,BOR,LIN,Fastest
0,244.4627128877598,241.3241015512545,BOR
1,138.1994511803677,139.824288922433,LIN
2,274.5233233722809,283.56475900770977,LIN
3,305.4675875299171,319.38113072959646,LIN
4,291.2580881529751,301.3215373545578,LIN
5,308.88565793047303,314.83748134162767,LIN
6,308.3051871290964,313.71084710082647,LIN
7,306.5474409390784,310.1310586204004,LIN
8,199.51373684809104,185.7417683156407,BOR
9,189.9372207046467,193.20309709104194,LIN
10,179.30405635077057,170.04123362459833,BOR
11,176.114459946592,170.48262440314699,BOR
12,243.94006400473722,241.74398098695045,BOR
13,262.1266572420876,250.04154372284196,BOR
14,264.0679973092473,265.98266291757625,LIN
15,253.7266071292542,235.61355109488878,BOR
16,176.64867458585258,175.40081668657191,BOR
17,187.63795789871156,190.05994621733487,LIN
18,241.98940586980393,253.79805914740385,LIN
19,288.1593054631308,303.051883992199,LIN
20,311.41768504211643,316.2610667840142,LIN
21,292.58813625593353,292.07658169507505,BOR
22,275.13046397246666,275.31865643472986,LIN
23,227.43701860979496,217.81762471743718,BOR
24,123.72381016949863,125.36134415096478,LIN
25,221.41666844444447,,BOR
