Minisector,KVY,NOR,Fastest
0,311.47388949333333,311.01084623845816,KVY
1,325.8792291185298,324.9358980923077,KVY
2,334.7996795897436,333.1825551355311,KVY
3,334.578621031746,337.7315478349206,NOR
4,187.84008581035195,215.9727710014597,NOR
5,95.44671467591826,89.41199539213251,KVY
6,201.06884656977118,188.58738213007328,KVY
7,259.8893587256982,250.70186104761905,KVY
8,295.4538892088889,271.7864588,KVY
9,298.54813227933914,280.722180291155,KVY
10,144.32030120970305,155.59750626878306,NOR
11,168.20176447179486,164.20692510676568,KVY
12,239.43948654318925,232.87500065185182,KVY
13,235.03516011265552,238.5171038877193,NOR
14,142.81199224527398,148.47956132670038,NOR
15,205.40432488082388,210.2969406548753,NOR
16,259.6620099764706,261.2730168685714,NOR
17,283.5374880970257,280.6427212316203,KVY
18,294.77527800888885,284.87559512380955,KVY
19,300.5737967347358,289.4097225244444,KVY
20,281.28122820402115,291.34577125126896,NOR
21,145.43855717211602,151.69224544622028,NOR
22,203.79655792332886,202.5650819047619,KVY
23,261.526328144895,259.18031788660903,KVY
24,292.12440540952383,284.24404815238097,KVY
25,304.8250016,293.1375008,KVY
