Minisector,SAI,HAM,Fastest
0,271.234992547297,269.5263425011472,SAI
1,243.74358052867726,240.74676775404322,SAI
2,111.36754359276395,106.29033336860978,SAI
3,165.841985205154,166.4768234002797,HAM
4,176.29425184063408,163.72167974356262,SAI
5,208.7504855293773,208.20155856081308,SAI
6,266.81484094342846,272.3539572598035,HAM
7,286.1321148795239,286.0113419577705,SAI
8,192.63587485201464,166.8674193980133,SAI
9,127.58895932934908,119.4169187108202,SAI
10,128.00711912592325,130.10233099181772,HAM
11,191.80875558767565,193.17529188656084,HAM
12,224.4085954110984,187.0328118210101,SAI
13,128.41977364318623,128.81996887144143,HAM
14,145.1874984594664,120.86066270092928,SAI
15,120.69772087279686,126.59462001761374,HAM
16,247.5340478422222,254.39777201066667,HAM
17,143.71981136172886,132.19424113531397,SAI
18,192.82112973480824,200.26124268483517,HAM
19,120.81442241966468,114.06684357959536,SAI
20,127.65145983290621,121.59972955747538,SAI
21,120.43731147691997,116.85259951273997,SAI
22,137.57532169604968,148.72493742878962,HAM
23,224.51920189086601,208.55854913735092,SAI
24,234.0008189000397,232.76564771070582,SAI
